The singer kissed the guitarist.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Act_Can.png,1,Illustration,1,1,1,1,1,1,Touch,l_Kiss_Touch_Anim_Act_Can,Do both participants play string instruments?,5,10,2,Agent
The guitarist was kissed by the singer.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Pass_Can.png,1,Illustration,1,2,1,2,1,1,Touch,l_Kiss_Touch_Anim_Pass_Can,Does one participant use hands to perform?,5,10,1,Patient
Here's the singer who kissed the  guitarist.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Act_Rel.png,1,Illustration,1,1,2,3,1,1,Touch,l_Kiss_Touch_Anim_Act_Rel,0,0,0,,0
Here's the guitarist who was kissed by the singer.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Pass_Rel.png,1,Illustration,1,2,2,4,1,1,Touch,l_Kiss_Touch_Anim_Pass_Rel,Was there punching?,5,10,2,Event
The gravy touched the broccoli. ,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Act_Can.png,1,Illustration,2,1,1,1,2,1,Touch,l_Touch_Touch_Inanim_Act_Can,Was there laughing?,5,10,2,Event
The broccoli was touched by the gravy.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Pass_Can.png,1,Illustration,2,2,1,2,2,1,Touch,l_Touch_Touch_Inanim_Pass_Can,Was the vegetable red?,5,10,2,Patient
Here's the gravy that touched the broccoli.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Act_Rel.png,1,Illustration,2,1,2,3,2,1,Touch,l_Touch_Touch_Inanim_Act_Rel,0,0,0,,0
Here's the broccoli that was touched by the gravy.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Pass_Rel.png,1,Illustration,2,2,2,4,2,1,Touch,l_Touch_Touch_Inanim_Pass_Rel,Was one object a kind of sauce?,5,10,1,Agent
The goalie kicked the referee.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Act_Can.png,1,Illustration,3,1,1,1,1,2,Contact by impact,l_Kick_Impact_Anim_Act_Can,Was at least one participant an athlete?,5,10,1,Agent
The referee was kicked by the goalie.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Pass_Can.png,1,Illustration,3,2,1,2,1,2,Contact by impact,l_Kick_Impact_Anim_Pass_Can,0,0,0,,0
